,resolution_number,date,size,issue,legislation,outcome,text,contract,acuerdo_marco
5022,0434/2013,2013-10-02,162.19,Pliegos,,NaN,None,NaN,False
5023,0425/2013,2013-10-02,204.1,Adjudicacion,,NaN,None,NaN,False
5024,0435/2013,2013-10-02,120.2,Adjudicacion,,NaN,None,NaN,False
5025,0415/2013,2013-09-26,106.88,NaN,,NaN,None,NaN,False
5026,0417/2013,2013-09-26,146.37,Pliegos,,NaN,None,NaN,False
5027,0412/2013,2013-09-26,187.63,Pliegos,,NaN,None,NaN,False
5028,0413/2013,2013-09-26,208.27,Adjudicacion,,NaN,None,NaN,False
5029,0418/2013,2013-09-26,176.41,Adjudicacion,,NaN,None,NaN,False
5030,0411/2013,2013-09-26,91.47,Adjudicacion,,NaN,None,NaN,False
5031,0420/2013,2013-09-26,216.64,Pliegos,,NaN,None,NaN,False
5032,0419/2013,2013-09-26,121.15,Pliegos,,NaN,None,NaN,False
5033,0422/2013,2013-09-26,117.65,Adjudicacion,,NaN,None,NaN,False
5034,0423/2013,2013-09-26,118.91,Exclusion,,NaN,None,NaN,False
5035,0416/2013,2013-09-26,134.37,Exclusion,,NaN,None,NaN,False
5036,0421/2013,2013-09-26,201.05,Exclusion,,NaN,None,NaN,False
5037,0424/2013,2013-09-26,167.19,Pliegos,,NaN,None,NaN,False
5038,0414/2013,2013-09-26,148.79,Exclusion,,Inadmision,None,NaN,False
5039,0403/2013,2013-09-20,106.71,Adjudicacion,,NaN,None,NaN,False
5040,0404/2013,2013-09-20,114.56,Exclusion,,NaN,None,NaN,False
5041,0405/2013,2013-09-20,250.38,Pliegos,,NaN,None,NaN,False
5042,0406/2013,2013-09-20,96.0,Exclusion,,NaN,None,NaN,False
5043,0407/2013,2013-09-20,101.4,Adjudicacion,,NaN,None,NaN,False
5044,0410/2013,2013-09-20,175.59,Pliegos,,NaN,None,NaN,False
5045,0408/2013,2013-09-20,84.83,Exclusion,,NaN,None,NaN,False
5046,0409/2013,2013-09-20,82.46,Exclusion,,NaN,None,NaN,False
5047,0385/2013,2013-09-19,223.05,Adjudicacion,,NaN,None,NaN,False
5048,0387/2013,2013-09-19,132.63,Pliegos,,NaN,None,NaN,False
5049,0388/2013,2013-09-19,216.75,Adjudicacion,,NaN,None,NaN,False
5050,0402/2013,2013-09-19,141.19,Adjudicacion,,Inadmision,None,NaN,True
5051,0389/2013,2013-09-19,181.82,Adjudicacion,,NaN,None,NaN,False
5052,0390/2013,2013-09-19,165.31,Adjudicacion,,NaN,None,NaN,False
5053,0391/2013,2013-09-19,153.8,Adjudicacion,,NaN,None,NaN,False
5054,0392/2013,2013-09-19,96.07,Adjudicacion,,NaN,None,NaN,False
5055,0393/2013,2013-09-19,100.68,Pliegos,,NaN,None,NaN,False
5056,0394/2013,2013-09-19,89.41,Adjudicacion,,NaN,None,NaN,False
5057,0397/2013,2013-09-19,74.66,Pliegos,,NaN,None,NaN,False
5058,0398/2013,2013-09-19,141.75,NaN,,NaN,None,NaN,False
5059,0399/2013,2013-09-19,105.34,Adjudicacion,,NaN,None,NaN,False
5060,0400/2013,2013-09-19,152.43,Exclusion,,NaN,None,NaN,False
5061,401./2013,2013-09-19,86.9,Pliegos,,NaN,None,NaN,False
5062,0386/2013,2013-09-19,231.16,Exclusion,,NaN,None,NaN,False
5063,0396/2013,2013-09-19,118.29,Pliegos,,NaN,None,NaN,False
5064,0395/2013,2013-09-19,88.31,Adjudicacion,,NaN,None,NaN,False
5065,0362/2013,2013-09-11,161.7,Exclusion,,NaN,None,NaN,False
5066,0363/2013,2013-09-11,155.57,Adjudicacion,,NaN,None,NaN,False
5067,0383/2013,2013-09-11,141.62,Exclusion,,NaN,None,NaN,False
5068,0364/2013,2013-09-11,126.0,Exclusion,,NaN,None,NaN,False
5069,0365/2013,2013-09-11,144.98,Licitacion,,NaN,None,NaN,False
5070,0361/2013,2013-09-11,131.37,Exclusion,,NaN,None,NaN,False
5071,0366/2013,2013-09-11,104.55,Exclusion,,NaN,None,NaN,False
5072,0367/2013,2013-09-11,112.23,Adjudicacion,,NaN,None,NaN,False
5073,0368/2013,2013-09-11,135.83,Pliegos,,NaN,None,NaN,False
5074,0369/2013,2013-09-11,139.33,Exclusion,,NaN,None,NaN,False
5075,0370/2013,2013-09-11,131.96,Exclusion,,NaN,None,NaN,False
5076,0379/2013,2013-09-11,172.18,Exclusion,,NaN,None,NaN,False
5077,0371/2013,2013-09-11,110.01,Exclusion,,NaN,None,NaN,False
5078,0373/2013,2013-09-11,103.44,Exclusion,,NaN,None,NaN,False
5079,0374/2013,2013-09-11,213.62,Pliegos,,Estimacion Parcial,None,NaN,False
5080,0384/2013,2013-09-11,175.42,Exclusion,,NaN,None,NaN,False
5081,0376/2013,2013-09-11,137.83,Adjudicacion,,NaN,None,NaN,False
5082,0377/2013,2013-09-11,77.32,Pliegos,,NaN,None,NaN,False
5083,0378/2013,2013-09-11,63.52,Pliegos,,NaN,None,NaN,False
5084,0375/2013,2013-09-11,140.81,Exclusion,,NaN,None,NaN,False
5085,0357/2013,2013-09-11,170.52,Adjudicacion,,NaN,None,NaN,False
5086,0358/2013,2013-09-11,165.92,Adjudicacion,,NaN,None,NaN,False
5087,0359/2013,2013-09-11,167.32,Adjudicacion,,NaN,None,NaN,False
5088,0380/2013,2013-09-11,178.02,Pliegos,,NaN,None,NaN,False
5089,0360/2013,2013-09-11,192.89,Adjudicacion,,NaN,None,NaN,False
5090,0381/2013,2013-09-11,177.55,Pliegos,,NaN,None,NaN,False
5091,372./2013,2013-09-11,140.94,Exclusion,,Estimacion,None,NaN,False
5092,0382/2013,2013-09-11,110.75,Adjudicacion,,NaN,None,NaN,False
5093,0347/2013,2013-09-06,123.67,Pliegos,,NaN,None,NaN,False
5094,0356/2013,2013-09-04,108.01,Adjudicacion,,NaN,None,NaN,False
5095,0349/2013,2013-09-04,106.99,Pliegos,,NaN,None,NaN,False
5096,0350/2013,2013-09-04,119.56,Adjudicacion,,NaN,None,NaN,False
5097,0351/2013,2013-09-04,78.88,NaN,,NaN,None,Otros,False
5098,0352/2013,2013-09-04,88.19,Adjudicacion,,NaN,None,NaN,False
5099,0354/2013,2013-09-04,156.25,Pliegos,,NaN,None,NaN,False
5100,0355/2013,2013-09-04,55.4,Pliegos,,NaN,None,NaN,False
5101,0346/2013,2013-09-04,254.93,Pliegos,,NaN,None,NaN,False
5102,0348/2013,2013-09-04,133.19,Exclusion,,NaN,None,NaN,False
5103,0353/2013,2013-09-04,133.09,Exclusion,,NaN,None,NaN,False
5104,0339/2013,2013-09-02,110.42,Adjudicacion,,NaN,None,NaN,False
5105,0336/2013,2013-09-02,107.46,Adjudicacion,,NaN,None,NaN,False
5106,0340/2013,2013-09-02,78.17,Pliegos,,NaN,None,NaN,False
5107,0341/2013,2013-09-02,110.76,Pliegos,,NaN,None,NaN,False
5108,0342/2013,2013-09-02,73.27,Exclusion,,NaN,None,NaN,False
5109,0343/2013,2013-09-02,62.0,Exclusion,,NaN,None,NaN,False
5110,0344/2013,2013-09-02,73.46,Adjudicacion,,NaN,None,NaN,False
5111,0337/2013,2013-09-02,112.0,Exclusion,,NaN,None,NaN,False
5112,0345/2013,2013-09-02,66.73,Exclusion,,NaN,None,NaN,False
5113,0338/2013,2013-09-02,76.84,Pliegos,,NaN,None,NaN,False
5114,0334/2013,2013-08-28,104.86,Adjudicacion,,NaN,None,NaN,False
5115,0401/2013,2013-08-28,77.81,Pliegos,,NaN,None,NaN,False
5116,0332/2013,2013-08-09,95.82,Exclusion,,NaN,None,NaN,False
5117,0333/2013,2013-08-09,72.48,Adjudicacion,,NaN,None,NaN,False
5118,0331/2013,2013-08-01,108.84,NaN,,NaN,None,NaN,False
5119,0330/2013,2013-08-01,144.75,Adjudicacion,,NaN,None,NaN,False
5120,0326/2013,2013-08-01,125.69,Exclusion,,NaN,None,NaN,False
5121,0329/2013,2013-08-01,87.01,Exclusion,,NaN,None,NaN,False
5122,0319/2013,2013-07-30,399.76,Adjudicacion,,NaN,None,NaN,False
5123,0320/2013,2013-07-30,172.83,Adjudicacion,,NaN,None,NaN,False
5124,0321/2013,2013-07-30,89.67,Exclusion,,NaN,None,NaN,False
5125,0323/2013,2013-07-30,150.81,Adjudicacion,,NaN,None,NaN,False
5126,0324/2013,2013-07-30,173.93,Adjudicacion,,NaN,None,NaN,False
5127,0325/2013,2013-07-30,167.91,Adjudicacion,,NaN,None,NaN,False
5128,0327/2013,2013-07-30,61.68,Exclusion,,NaN,None,NaN,False
5129,0328/2013,2013-07-30,67.65,Exclusion,,NaN,None,NaN,False
5130,0322/2013,2013-07-30,153.92,Exclusion,,NaN,None,NaN,False
5131,0308/2013,2013-07-24,95.31,Adjudicacion,,NaN,None,NaN,False
5132,0309/2013,2013-07-24,83.2,Adjudicacion,,NaN,None,NaN,False
5133,0310/2013,2013-07-24,146.86,Pliegos,,NaN,None,NaN,False
5134,0311/2013,2013-07-24,172.77,Pliegos,,NaN,None,NaN,False
5135,0312/2013,2013-07-24,119.32,Exclusion,,NaN,None,NaN,False
5136,0313/2013,2013-07-24,173.61,Adjudicacion,,NaN,None,NaN,False
5137,0314/2013,2013-07-24,209.7,Adjudicacion,,NaN,None,NaN,False
5138,315./2013,2013-07-24,140.22,Pliegos,,NaN,None,NaN,False
5139,0316/2013,2013-07-24,96.82,Pliegos,,NaN,None,NaN,False
5140,0317/2013,2013-07-24,328.83,Exclusion,,NaN,None,NaN,False
5141,0318/2013,2013-07-24,177.09,Adjudicacion,,NaN,None,NaN,False
5142,307_/2013,2013-07-24,156.05,NaN,,NaN,None,Suministro,False
5143,0289/2013,2013-07-17,68.99,Adjudicacion,,Inadmision,None,NaN,False
5144,0290/2013,2013-07-17,231.4,Adjudicacion,,NaN,None,NaN,False
5145,0291/2013,2013-07-17,391.47,Exclusion,,NaN,None,NaN,False
5146,0292/2013,2013-07-17,174.68,Adjudicacion,,NaN,None,NaN,False
5147,0287/2013,2013-07-17,73.19,Adjudicacion,,NaN,None,NaN,False
5148,0293/2013,2013-07-17,89.76,Adjudicacion,,NaN,None,NaN,False
5149,0294/2013,2013-07-17,135.11,Pliegos,,NaN,None,NaN,False
5150,0295/2013,2013-07-17,130.32,Exclusion,,NaN,None,NaN,False
5151,0296/2013,2013-07-17,89.09,Adjudicacion,,Inadmision,None,NaN,False
5152,0288/2013,2013-07-17,317.36,Adjudicacion,,NaN,None,NaN,False
5153,0297/2013,2013-07-17,99.53,Adjudicacion,,NaN,None,NaN,False
5154,0298/2013,2013-07-17,67.32,Adjudicacion,,NaN,None,NaN,False
5155,0299/2013,2013-07-17,95.43,NaN,,NaN,None,Servicios,False
5156,0300/2013,2013-07-17,84.76,Pliegos,,NaN,None,NaN,False
5157,0301/2013,2013-07-17,89.88,Exclusion,,NaN,None,NaN,False
5158,0302/2013,2013-07-17,137.79,Adjudicacion,,NaN,None,NaN,False
5159,0303/2013,2013-07-17,150.3,Exclusion,,NaN,None,NaN,False
5160,0304/2013,2013-07-17,150.42,Exclusion,,NaN,None,NaN,False
5161,305./2013,2013-07-17,145.47,Exclusion,,NaN,None,NaN,False
5162,0306/2013,2013-07-17,157.67,Exclusion,,NaN,None,NaN,False
5163,0271/2013,2013-07-12,141.41,Adjudicacion,,NaN,None,NaN,False
5164,0266/2013,2013-07-10,104.06,Adjudicacion,,NaN,None,NaN,False
5165,0268/2013,2013-07-10,189.74,NaN,,NaN,None,NaN,False
5166,0286/2013,2013-07-10,138.12,Exclusion,,NaN,None,NaN,False
5167,0269/2013,2013-07-10,119.26,Adjudicacion,,Inadmision,None,NaN,False
5168,0270/2013,2013-07-10,266.63,Exclusion,,NaN,None,NaN,False
5169,0272/2013,2013-07-10,137.37,Adjudicacion,,NaN,None,NaN,False
5170,0273/2013,2013-07-10,145.5,Exclusion,,NaN,None,NaN,False
5171,0274/2013,2013-07-10,171.74,Adjudicacion,,NaN,None,NaN,False
5172,0275/2013,2013-07-10,140.66,Exclusion,,NaN,None,NaN,False
5173,0276/2013,2013-07-10,174.03,Exclusion,,NaN,None,NaN,False
5174,0277/2013,2013-07-10,151.42,Adjudicacion,,NaN,None,NaN,False
5175,0278/2013,2013-07-10,67.98,Adjudicacion,,NaN,None,NaN,False
5176,0279/2013,2013-07-10,123.33,Adjudicacion,,NaN,None,NaN,False
5177,0280/2013,2013-07-10,113.5,Pliegos,,NaN,None,NaN,False
5178,0281/2013,2013-07-10,83.19,Adjudicacion,,NaN,None,NaN,False
5179,0282/2013,2013-07-10,109.17,Pliegos,,NaN,None,NaN,False
5180,0283/2013,2013-07-10,145.25,Adjudicacion,,NaN,None,NaN,False
5181,0284/2013,2013-07-10,88.48,Exclusion,,NaN,None,NaN,False
5182,0285/2013,2013-07-10,52.4,Adjudicacion,,NaN,None,NaN,False
5183,0267/2013,2013-07-10,351.3,Pliegos,,NaN,None,NaN,False
5184,0250/2013,2013-07-04,170.28,Adjudicacion,,NaN,None,NaN,False
5185,0265/2013,2013-07-04,192.72,Adjudicacion,,NaN,None,NaN,False
5186,0251/2013,2013-07-04,169.59,Pliegos,,NaN,None,NaN,False
5187,0252/2013,2013-07-04,197.64,Adjudicacion,,NaN,None,NaN,True
5188,0253/2013,2013-07-04,149.05,Adjudicacion,,NaN,None,NaN,True
5189,0254/2013,2013-07-04,154.94,Adjudicacion,,NaN,None,NaN,True
5190,0255/2013,2013-07-04,198.06,Adjudicacion,,Estimacion,None,NaN,True
5191,0256/2013,2013-07-04,150.83,NaN,,NaN,None,NaN,False
5192,0249/2013,2013-07-04,149.23,Adjudicacion,,NaN,None,NaN,False
5193,0257/2013,2013-07-04,98.14,Pliegos,,NaN,None,NaN,False
5194,0258/2013,2013-07-04,114.15,Exclusion,,NaN,None,NaN,False
5195,0259/2013,2013-07-04,86.49,Adjudicacion,,NaN,None,NaN,False
5196,0260/2013,2013-07-04,37.14,NaN,,NaN,None,NaN,False
5197,0264/2013,2013-07-04,132.81,Pliegos,,NaN,None,NaN,False
5198,0261/2013,2013-07-04,66.41,Exclusion,,NaN,None,NaN,False
5199,0262/2013,2013-07-04,75.76,NaN,,NaN,None,NaN,False
5200,0263/2013,2013-07-04,59.12,Adjudicacion,,NaN,None,NaN,False
5201,0241/2013,2013-06-27,146.28,Exclusion,,NaN,None,NaN,False
5202,0242/2013,2013-06-27,133.04,Pliegos,,Estimacion,None,Servicios,False
5203,0244/2013,2013-06-27,111.45,Adjudicacion,,Desestimacion,None,Suministro,False
5204,0245/2013,2013-06-27,151.85,Adjudicacion,,NaN,None,NaN,True
5205,0247/2013,2013-06-27,106.79,NaN,,NaN,None,Otros,False
5206,0248/2013,2013-06-27,172.23,Exclusion,,NaN,None,NaN,False
5207,0243/2013,2013-06-27,133.79,Exclusion,,NaN,None,NaN,False
5208,0246/2013,2013-06-27,124.51,Adjudicacion,,NaN,None,NaN,False
5209,0229/2013,2013-06-20,170.36,Exclusion,,NaN,None,NaN,False
5210,0230/2013,2013-06-20,132.97,NaN,,NaN,None,NaN,False
5211,0231/2013,2013-06-20,153.72,Adjudicacion,,NaN,None,NaN,False
5212,0232/2013,2013-06-20,153.5,Adjudicacion,,Estimacion,None,NaN,False
5213,0234/2013,2013-06-20,147.19,NaN,,NaN,None,NaN,False
5214,0235/2013,2013-06-20,123.55,Pliegos,,NaN,None,NaN,False
5215,0236/2013,2013-06-20,72.29,NaN,,NaN,None,NaN,False
5216,0237/2013,2013-06-20,120.61,Pliegos,,Inadmision,None,NaN,False
5217,0238/2013,2013-06-20,99.96,Exclusion,UTE,Desestimacion,", no puede basarse en cumplimiento por otra empresa.  Desestimacion",Suministro,False
5218,0239/2013,2013-06-20,110.39,Exclusion,,NaN,None,Suministro,False
5219,0240/2013,2013-06-20,134.92,Pliegos,,NaN,None,Servicios,False
5220,0233/2013,2013-06-20,138.96,Adjudicacion,,NaN,None,NaN,False
5221,0214/2013,2013-06-12,149.95,Pliegos,,NaN,None,NaN,False
5222,0215/2013,2013-06-12,163.08,Adjudicacion,,NaN,None,NaN,False
5223,0216/2013,2013-06-12,120.43,NaN,,NaN,None,NaN,False
5224,0217/2013,2013-06-12,122.71,Adjudicacion,,NaN,None,NaN,False
5225,0218/2013,2013-06-12,148.62,Adjudicacion,,NaN,None,NaN,False
5226,0219/2013,2013-06-12,131.87,Pliegos,,NaN,None,NaN,False
5227,0220/2013,2013-06-12,131.7,Pliegos,,NaN,None,NaN,False
5228,0221/2013,2013-06-12,201.89,Exclusion,,NaN,None,NaN,False
5229,0222/2013,2013-06-12,145.32,Adjudicacion,,NaN,None,NaN,False
5230,0223/2013,2013-06-12,105.07,Adjudicacion,,NaN,None,NaN,False
5231,0224/2013,2013-06-12,56.92,Pliegos,,NaN,None,NaN,False
5232,0225/2013,2013-06-12,223.02,Adjudicacion,,NaN,None,NaN,False
5233,0226/2013,2013-06-12,116.15,Pliegos,,NaN,None,NaN,False
5234,0227/2013,2013-06-12,69.97,Adjudicacion,,NaN,None,NaN,False
5235,0228/2013,2013-06-12,44.24,NaN,,NaN,None,NaN,False
5236,0213/2013,2013-06-05,230.49,Adjudicacion,,NaN,None,NaN,False
5237,0211/2013,2013-06-05,127.16,Exclusion,,NaN,None,NaN,False
5238,0203/2013,2013-06-05,137.08,Pliegos,,NaN,None,NaN,False
5239,0204/2013,2013-06-05,161.49,Pliegos,,NaN,None,NaN,False
5240,0205/2013,2013-06-05,106.0,Exclusion,,NaN,None,NaN,False
5241,0206/2013,2013-06-05,162.4,NaN,,NaN,None,NaN,False
5242,0207/2013,2013-06-05,114.78,Adjudicacion,,NaN,None,NaN,False
5243,0208/2013,2013-06-05,168.3,Exclusion,,NaN,None,NaN,False
5244,0209/2013,2013-06-05,131.73,Adjudicacion,,NaN,None,NaN,False
5245,0210/2013,2013-06-05,104.0,Adjudicacion,,Desestimacion,None,NaN,False
5246,0212/2013,2013-06-05,236.67,Pliegos,,NaN,None,NaN,False
5247,0195/2013,2013-05-29,153.91,Exclusion,,NaN,None,NaN,False
5248,0196/2013,2013-05-29,162.37,Exclusion,,NaN,None,NaN,False
5249,0197/2013,2013-05-29,205.43,Adjudicacion,,NaN,None,NaN,False
5250,0198/2013,2013-05-29,111.37,Exclusion,,NaN,None,NaN,False
5251,0199/2013,2013-05-29,104.22,Adjudicacion,,NaN,None,NaN,False
5252,0200/2013,2013-05-29,154.29,NaN,,NaN,None,NaN,False
5253,0201/2013,2013-05-29,125.28,Exclusion,,NaN,None,NaN,False
5254,0202/2013,2013-05-29,113.84,Adjudicacion,,NaN,None,NaN,False
5255,0181/2013,2013-05-23,172.47,Pliegos,,NaN,None,NaN,False
5256,0182/2013,2013-05-23,177.16,Adjudicacion,,NaN,None,NaN,False
5257,0183/2013,2013-05-23,150.73,Adjudicacion,,NaN,None,NaN,False
5258,0184/2013,2013-05-23,239.62,Adjudicacion,,NaN,None,NaN,False
5259,0185/2013,2013-05-23,151.54,Exclusion,,NaN,None,NaN,False
5260,0186/2013,2013-05-23,147.41,NaN,,NaN,None,NaN,False
5261,0187/2013,2013-05-23,198.64,Pliegos,,NaN,None,NaN,False
5262,0188/2013,2013-05-23,113.51,Licitacion,,NaN,None,NaN,False
5263,0189/2013,2013-05-23,176.45,Pliegos,,NaN,None,NaN,False
5264,0190/2013,2013-05-23,168.42,NaN,,NaN,None,NaN,False
5265,0191/2013,2013-05-23,115.24,Adjudicacion,,NaN,None,NaN,False
5266,0192/2013,2013-05-23,73.32,Adjudicacion,,NaN,None,NaN,False
5267,0193/2013,2013-05-23,99.07,Exclusion,,NaN,None,NaN,False
5268,0194/2013,2013-05-23,222.62,Pliegos,,NaN,None,NaN,False
5269,0176/2013,2013-05-14,86.13,Adjudicacion,,NaN,None,NaN,False
5270,0173/2013,2013-05-14,129.15,Adjudicacion,,NaN,None,NaN,False
5271,0179/2013,2013-05-14,173.49,Pliegos,,NaN,None,NaN,False
5272,0174/2013,2013-05-14,87.51,NaN,,NaN,None,NaN,False
5273,0175/2013,2013-05-14,181.93,Exclusion,,NaN,None,NaN,False
5274,0178/2013,2013-05-14,123.21,Adjudicacion,,NaN,None,NaN,False
5275,0172/2013,2013-05-14,279.13,NaN,,NaN,None,NaN,False
5276,0177/2013,2013-05-14,125.27,Exclusion,,NaN,None,NaN,False
5277,0164/2013,2013-05-08,175.69,Adjudicacion,,NaN,None,NaN,False
5278,0165/2013,2013-05-08,146.83,Adjudicacion,,NaN,None,NaN,False
5279,0167/2013,2013-05-08,134.07,Exclusion,,NaN,None,NaN,False
5280,0168/2013,2013-05-08,107.63,Exclusion,,NaN,None,NaN,False
5281,0171/2013,2013-05-08,69.8,Adjudicacion,,NaN,None,NaN,False
5282,0169/2013,2013-05-08,80.29,Adjudicacion,,NaN,None,NaN,False
5283,0170/2013,2013-05-08,76.74,Adjudicacion,,NaN,None,NaN,False
5284,0166/2013,2013-05-08,178.16,Exclusion,,NaN,None,NaN,False
5285,0163/2013,2013-04-30,141.1,Adjudicacion,,NaN,None,NaN,False
5286,0159/2013,2013-04-24,146.52,Adjudicacion,,NaN,None,NaN,False
5287,0160/2013,2013-04-24,120.23,Exclusion,,NaN,None,NaN,False
5288,0161/2013,2013-04-24,74.43,Pliegos,,NaN,None,NaN,False
5289,0162/2013,2013-04-24,185.26,Adjudicacion,,NaN,None,NaN,False
5290,0180/2013,2013-04-23,139.15,Adjudicacion,,NaN,None,NaN,False
5291,0157/2013,2013-04-18,136.33,Adjudicacion,,NaN,None,NaN,True
5292,0158/2013,2013-04-18,144.46,Adjudicacion,,NaN,None,NaN,True
5293,0149/2013,2013-04-18,101.07,Adjudicacion,,Desestimacion,None,NaN,False
5294,0150/2013,2013-04-18,239.8,Exclusion,,NaN,None,NaN,False
5295,151/2013,2013-04-18,145.84,Adjudicacion,,NaN,None,NaN,False
5296,152/2013,2013-04-18,228.61,Exclusion,,NaN,None,NaN,False
5297,153/2013,2013-04-18,318.85,Adjudicacion,,NaN,None,Servicios,False
5298,154/2013,2013-04-18,190.39,Exclusion,,NaN,None,NaN,False
5299,155/2013,2013-04-18,76.23,Exclusion,,NaN,None,NaN,False
5300,0156/2013,2013-04-18,114.74,Pliegos,,NaN,None,NaN,False
5301,0140/2013,2013-04-10,200.63,Pliegos,,NaN,None,NaN,False
5302,0142/2013,2013-04-10,223.98,Adjudicacion,,NaN,None,NaN,False
5303,0141/2013,2013-04-10,237.31,Exclusion,,NaN,None,NaN,False
5304,0146/2013,2013-04-10,119.44,Adjudicacion,,NaN,None,NaN,False
5305,0137/2013,2013-04-10,72.72,Adjudicacion,,Inadmision,None,Suministro,True
5306,0138/2013,2013-04-10,90.46,Adjudicacion,,Inadmision,None,Suministro,False
5307,143/2013,2013-04-10,178.97,Adjudicacion,,NaN,None,NaN,False
5308,147/2013,2013-04-10,162.36,Adjudicacion,,NaN,None,NaN,False
5309,148/2013,2013-04-10,106.64,Adjudicacion,,NaN,None,NaN,False
5310,144/2013,2013-04-10,87.13,Adjudicacion,,NaN,None,NaN,False
5311,0145/2013,2013-04-10,61.72,NaN,,NaN,None,NaN,False
5312,0139/2013,2013-04-10,98.08,Exclusion,,NaN,None,NaN,False
5313,0133/2013,2013-04-05,102.97,Adjudicacion,,Estimacion,None,NaN,False
5314,0135/2013,2013-04-05,136.49,Exclusion,,NaN,None,NaN,False
5315,0136/2013,2013-04-05,135.04,Pliegos,,NaN,None,NaN,False
5316,131/2013,2013-04-05,83.32,Adjudicacion,,Inadmision,None,Servicios,False
5317,0132/2013,2013-04-05,175.76,Pliegos,,NaN,None,Suministro,True
5318,134/2013,2013-04-05,307.16,Pliegos,,NaN,None,NaN,False
5319,0128/2013,2013-04-03,130.63,Pliegos,,NaN,None,NaN,False
5320,129/2013,2013-04-03,138.24,Adjudicacion,,NaN,None,Suministro,True
5321,0130/2013,2013-04-03,101.29,Exclusion,,Desestimacion,None,Suministro,False
5322,127/2013,2013-03-27,71.43,Exclusion,,Estimacion,None,Servicios,False
5323,123/2013,2013-03-27,398.95,NaN,,Estimacion,None,Suministro,True
5324,125/2013,2013-03-27,155.66,NaN,,Estimacion Parcial,None,Obras,False
5325,126/2013,2013-03-27,83.73,Pliegos,,Estimacion,None,Servicios,False
5326,0124/2013,2013-03-27,124.54,Pliegos,,NaN,None,Suministro,False
5327,114/2013,2013-03-21,127.11,Adjudicacion,,NaN,None,Servicios,False
5328,116/2013,2013-03-21,202.96,Adjudicacion,,Estimacion Parcial,None,NaN,False
5329,0117/2013,2013-03-21,96.39,Exclusion,,Desestimacion,None,Servicios,False
5330,0118/2013,2013-03-21,76.65,Exclusion,,NaN,None,Suministro,False
5331,119/2013,2013-03-21,100.59,Adjudicacion,,NaN,None,Servicios,False
5332,0120/2013,2013-03-21,138.66,Adjudicacion,,NaN,None,Servicios,False
5333,122/2013,2013-03-21,44.19,Pliegos,,Desestimacion,None,Servicios,False
5334,0113/2013,2013-03-21,159.41,Adjudicacion,,NaN,None,NaN,False
5335,0115/2013,2013-03-21,163.04,Pliegos,,NaN,None,NaN,False
5336,0121/2013,2013-03-21,82.5,Adjudicacion,,NaN,None,NaN,False
5337,0108/2013,2013-03-19,110.47,Pliegos,,NaN,None,Servicios,False
5338,106/2013,2013-03-14,103.07,Exclusion,,Desestimacion,None,Servicios,False
5339,0104/2013,2013-03-14,216.23,Pliegos,,NaN,None,Suministro,False
5340,105/2013,2013-03-14,142.6,Pliegos,,NaN,None,Suministro,False
5341,107/2013,2013-03-14,139.94,Adjudicacion,,Inadmision,None,Suministro,False
5342,109/2013,2013-03-14,110.04,Pliegos,,NaN,None,Servicios,False
5343,112/2013,2013-03-14,48.47,Adjudicacion,,Inadmision,None,Obras,False
5344,94/2013,2013-03-06,171.73,Exclusion,,NaN,None,Suministro,True
5345,102/2013,2013-03-06,204.48,Exclusion,,NaN,None,Suministro,False
5346,95/2013,2013-03-06,126.4,Exclusion,,NaN,None,Suministro,False
5347,0096/2013,2013-03-06,111.42,Adjudicacion,,Desestimacion,None,Servicios,False
5348,097/2013,2013-03-06,76.75,Adjudicacion,,NaN,None,Suministro,True
5349,098/2013,2013-03-06,213.96,Adjudicacion,,NaN,None,Servicios,False
5350,099/2013,2013-03-06,79.8,Adjudicacion,,NaN,None,Servicios,False
5351,103/2013,2013-03-06,245.76,Exclusion,,NaN,None,Suministro,False
5352,100/2013,2013-03-06,142.4,NaN,,NaN,None,Suministro,False
5353,101/2013,2013-03-06,128.83,Pliegos,,Estimacion Parcial,None,Servicios,False
5354,0092/2013,2013-03-05,149.18,Adjudicacion,,NaN,None,Servicios,False
5355,0093/2013,2013-03-05,170.02,Pliegos,,NaN,None,Servicios,False
5356,91/2013,2013-03-05,147.87,"Desistimiento, Desierta, Desierto",,NaN,None,NaN,False
5357,88/2013,2013-02-27,125.79,Exclusion,,NaN,None,NaN,False
5358,089/2013,2013-02-27,109.62,Adjudicacion,,Inadmision,None,Servicios,False
5359,90/2013,2013-02-27,150.86,Exclusion,,NaN,None,Suministro,False
5360,82/2013,2013-02-20,247.9,Exclusion,,Estimacion Parcial,None,Suministro,True
5361,083/2013,2013-02-20,93.87,Pliegos,,NaN,None,Servicios,False
5362,84/2013,2013-02-20,123.53,Adjudicacion,,NaN,None,Suministro,False
5363,85/2013,2013-02-20,82.89,NaN,,NaN,None,Servicios,False
5364,0086/2013,2013-02-20,102.32,Pliegos,,NaN,None,Servicios,False
5365,0081/2013,2013-02-20,213.18,Pliegos,,NaN,None,NaN,False
5366,80./2013,2013-02-20,207.19,Pliegos,,Inadmision,None,Servicios,False
5367,73/2013,2013-02-14,144.33,Exclusion,,NaN,None,Suministro,True
5368,74/2013,2013-02-14,129.47,Adjudicacion,,Desestimacion,None,Suministro,True
5369,75/2013,2013-02-14,60.92,Pliegos,,NaN,None,Servicios,False
